asset,market_id,entry_time,exit_time,strike,spot,dte_days,direction,entry_pm_yes,exit_pm_yes,closest_strike_iv,atm_iv,skew_adjusted_iv,closest_strike_touch_prob,atm_touch_prob,skew_adjusted_touch_prob,closest_strike_edge,atm_edge,skew_adjusted_edge,pm_moved,pm_pnl_pct,closest_result,atm_result,skew_result
OIL,2230536,2026-05-12 22:00:00+00:00,2026-05-19 22:00:00+00:00,90.000000,98.912000,19.25,below,0.610000,0.235000,0.648000,0.704264,0.724140,0.316087,0.347227,0.357287,-29.391255,-26.277275,-25.271322,down,-61.4754,1_closest,1_atm,1_skew
OIL,2230535,2026-05-12 22:00:00+00:00,2026-05-19 22:00:00+00:00,95.000000,98.912000,19.25,below,0.815000,0.395000,0.648000,0.704264,0.712759,0.625042,0.640345,0.642368,-18.995829,-17.465524,-17.263233,down,-51.5337,1_closest,1_atm,1_skew
OIL,2074237,2026-05-12 22:00:00+00:00,2026-05-19 22:00:00+00:00,110.000000,98.912000,19.25,above,0.575000,0.615000,0.648000,0.704264,0.681898,0.365736,0.415253,0.395998,-20.926359,-15.974748,-17.900171,up,6.9565,0_closest,0_atm,0_skew
OIL,2132637,2026-05-12 22:00:00+00:00,2026-05-19 22:00:00+00:00,85.000000,98.912000,19.25,below,0.335000,0.125000,0.648000,0.704264,0.736172,0.122172,0.149931,0.165287,-21.282773,-18.506874,-16.971310,down,-62.6866,1_closest,1_atm,1_skew
GOLD,2074203,2026-05-12 22:00:00+00:00,2026-05-19 22:00:00+00:00,4900.000000,4714.800000,19.25,above,0.375000,0.050000,0.238000,0.704264,0.696154,0.337934,0.823900,0.819823,-3.706640,44.890041,44.482258,down,-86.6667,1_closest,0_atm,0_skew
OIL,2074236,2026-05-12 22:00:00+00:00,2026-05-19 22:00:00+00:00,120.000000,98.912000,19.25,above,0.255000,0.275000,0.648000,0.704264,0.663582,0.083384,0.115138,0.091849,-17.161557,-13.986194,-16.315056,up,7.8431,0_closest,0_atm,0_skew
GOLD,2074202,2026-05-12 22:00:00+00:00,2026-05-19 22:00:00+00:00,5000.000000,4714.800000,19.25,above,0.165000,0.015000,0.238000,0.704264,0.691901,0.138610,0.689758,0.681536,-2.639006,52.475781,51.653619,down,-90.9091,1_closest,0_atm,0_skew
OIL,2074235,2026-05-12 22:00:00+00:00,2026-05-19 22:00:00+00:00,130.000000,98.912000,19.25,above,0.125000,0.105000,0.648000,0.704264,0.646732,0.012701,0.022881,0.012513,-11.229884,-10.211855,-11.248701,down,-16.0000,1_closest,1_atm,1_skew
OIL,2132638,2026-05-12 22:00:00+00:00,2026-05-19 22:00:00+00:00,115.000000,98.912000,19.25,above,0.370000,0.390000,0.648000,0.704264,0.672541,0.184534,0.228833,0.203843,-18.546591,-14.116730,-16.615734,up,5.4054,0_closest,0_atm,0_skew
OIL,2074240,2026-05-12 22:00:00+00:00,2026-05-19 22:00:00+00:00,80.000000,98.912000,19.25,below,0.165000,0.055000,0.648000,0.704264,0.748934,0.033850,0.048852,0.061977,-13.114973,-11.614765,-10.302297,down,-66.6667,1_closest,1_atm,1_skew
