market_id,direction,y,smart_share,dumb_share,classified_share,smart_net_yes,dumb_net_yes
2074198,above,0,0.0,0.0,0.0,0.0,0.0
2074199,above,0,0.0,0.0,0.0,0.0,0.0
2074200,above,0,0.0,0.0,0.0,0.0,0.0
2074201,above,0,0.0,0.0,0.0,0.0,0.0
2074202,above,0,0.0,0.0,0.0,0.0,0.0
2074203,above,0,0.0,0.11259903280809555,0.11259903280809555,0.0,1332.9056999999998
2074204,above,0,0.001362178092573548,0.03092163247209686,0.032283810564670404,-334.68,1482.7730999999999
2074208,below,1,0.06706837285060131,0.0003046948439585826,0.1408714070944136,2165.42,10.0057
2074209,below,0,0.37485495427968496,0.04857234575256718,0.560506407060306,4611.419999999999,583.9864
2074210,below,0,0.0011354411366112985,0.12029644247897309,0.17479917577463566,-366.63,1628.3951
2074211,below,0,0.0,0.0473231486601807,0.08844321188068877,-308.14,346.92439999999993
2074233,above,0,0.0,5.867351194928115e-05,0.012155910332133446,-542.0,-234.152
2074234,above,0,0.0005214517540131815,0.00518795267280324,0.022143009693671965,-71.32,2646.2674999999995
2074235,above,0,0.007235161838529017,1.128323455354197e-05,0.010783177774809355,2557.2449,-217.89069999999998
2074236,above,0,0.010733675146209475,0.0003673421750838395,0.02007401421698836,-73850.9516,75.4471
2074237,above,0,0.01950372789739987,0.0018350713408689413,0.09435694777670066,4662.900000000001,472.33
2074240,below,0,0.006077784082498634,0.028291816123259775,0.3788198556978432,-32067.5294,6311.8764999999985
2074241,below,0,0.05852510914070984,0.02670028979542491,0.4867386176707006,11696.768100000001,-2823.9312
2074242,below,0,0.05305004026405324,0.005094087898525587,0.44502035426109,10281.7758,1230.0016
2074243,below,0,0.0,0.03595006875012601,0.4397572100325005,-49.98,1190.0
2074244,below,0,0.0,0.02784748449424497,0.0704989614065219,-7.056,652.9091
2074245,below,0,0.0,0.021369555139228485,0.07072341337100967,-5.05,601.1283
2074246,below,0,0.0,0.03388742882057698,0.0821318996324628,-20.095,1408.3333
2128304,above,0,0.003574044885319269,0.3221320503883448,0.38602442797656106,-28113.3873,336995.8988000001
2132637,below,0,0.0011335024153773026,0.010495925848116585,0.6225068703176403,-23206.0209,2661.2601
2132638,above,0,0.021290586449984484,0.26224101144056317,0.40784122536556894,-36769.51640000001,58469.059300000015
2182293,above,0,0.1890055081308812,0.18288134388906563,0.4415871513673589,-4027.1077999999998,1018.8358000000001
2305672,above,0,0.2871562565154863,0.09784849138626907,0.4537210656514069,873.3881000000001,446.10999999999996
2305701,above,0,0.03598765934077561,0.01738970092117356,0.1139662400351217,-1261.9461000000001,33.75999999999999
2305702,above,0,0.0928440229606829,0.037209550225638946,0.13570884134990882,-7051.27,220.3524
2305703,above,0,0.2870939466364578,0.045733198277769706,0.5663051466742083,173.87360000000007,-453.4412999999999
2322404,above,0,0.0034743578259091436,0.15195423465844518,0.5242400385524343,-5214.789000000001,14376.2308
2361880,above,0,0.001008521987825976,0.04920605107078835,0.1347697445923411,-28646.338299999996,16592.9415
2361888,below,1,0.03076372380136191,0.00927827350862232,0.4291585280383416,156.1288,67.2479
2132768,above,0,0.0,0.0005554379452910708,0.0025298810910728818,0.0,366.88700000000006
2132769,above,0,0.0,0.37531948420973876,0.3831668435784095,-1.002,85059.90999999999
2132770,above,0,0.0,0.0031626507675334547,0.024880243291013956,0.0,299.99
2132771,above,0,0.0,0.023852661874817126,0.03266184201217223,0.0,2645.4211000000005
2132772,above,0,0.001874327025224502,0.003100841646682811,0.19550248745125876,497.6815,817.1880000000001
2132773,above,0,0.0019803126619740053,0.056896330205863176,0.12279185079245974,-101.60949999999997,19993.1256
2132774,above,0,0.037120173420150226,0.08058704695967353,0.1304931547115891,21051.0168,47669.4518
2132775,above,0,0.015872848302421427,0.05360125411075025,0.07656659313415498,9886.836500000001,40928.424100000004
2132776,above,0,0.0005874540925134631,0.04159078029032605,0.0649314727290753,-4906.943000000001,52234.065200000005
2132779,below,0,0.002595451658956218,0.01038894540060422,0.23952221595935105,-2160.3573000000006,8122.557900000001
2132780,below,0,0.006323740278350491,0.030720523764497066,0.15516963747496493,3424.498,24119.365400000006
2132781,below,0,0.01656325695473023,0.11791374079713669,0.21325303908706247,7707.957,71941.7059
2132782,below,0,0.0,0.0883224799187204,0.2445526668735813,-164.12619999999998,27590.0182
2132783,below,0,0.0,0.03758482026006442,0.25147535747310046,-4.3312,14116.8557
2132784,below,0,0.0,0.05824418565359844,0.17686090621215628,-6.522399999999999,13495.4071
2132785,below,0,0.0019386328455799522,0.20202198831958665,0.27483543513793296,250.0,26052.1158
2132786,below,0,0.00043212250411624507,0.04664911548567437,0.052700918213752446,333.3333,35984.48
2132787,below,0,0.013893418568296902,0.08712366090837459,0.14184156304008577,2221.007,13952.66
2132788,above,0,0.0,0.0,0.13431691606702273,0.0,-11.0
2132789,above,0,0.0,0.0051338893789922655,0.10216132801106255,-2.8083,333.3333
2132790,above,0,0.0,0.014603877501860147,0.1497058664358884,0.0,983.6667
2132791,above,0,0.0,0.02811794726473073,0.030403300637836108,0.0,1647.0
2132792,above,0,0.0,0.02820392706223755,0.1630402838391937,0.0,2841.479
2132793,above,0,0.001515763884357318,0.06800752032274698,0.5557182648250807,93.0,6909.4918
2132794,above,0,0.01901296317596274,0.05697040577798171,0.5712158362452806,3467.857,11552.7125
2132795,above,0,0.0013703132415913435,0.10378794203097208,0.48211017680493473,-1263.8559999999995,15655.055199999999
2132796,above,0,0.003934372531429912,0.13938257282277805,0.26236535868141375,863.4295,44894.9207
2132799,below,1,0.09117206773073416,0.06372911552571123,0.7435607451343486,10852.142,989.703400000001
2132800,below,0,0.0014834183391002394,0.11423689841004274,0.3425661979899318,-44521.05670000001,-7121.396900000001
2132801,below,0,0.0,0.06734449143480938,0.21414936774784943,-82.7925,-48552.74260000001
2132802,below,0,0.0,0.29301223171416135,0.5513755882408338,0.0,4057.1898999999985
2132803,below,0,0.0,0.24094465440319923,0.3850937937330549,0.0,11103.994
2132804,below,0,0.0,0.015988799658202275,0.45953686589203474,0.0,605.0
2132805,below,0,0.0,0.02486468647892831,0.05774361074858558,0.0,594.0
2132806,below,0,0.0,0.00020388698050448597,0.08628497014949846,0.0,-7.0
2132807,below,0,0.0,7.4558580027668096e-06,0.07159891754660579,0.0,-9.0
2365496,above,0,0.007198575211784039,0.05843661013478714,0.4810931277322273,1023.8289,8083.812900000002
2365497,above,0,0.0003336038456895296,0.047364094940584786,0.16761265577978557,-526.8974,6464.769700000001
2365498,above,1,0.0,0.0,0.0,0.0,-100.0
2365528,below,0,0.002266697796484565,0.016575024796047406,0.6191846050393194,-4573.239500000001,1605.4642999999996
2378711,above,0,0.0016829033707182665,0.024106173082503457,0.70098095146324,-2136.3786,-647.2652000000002
1032267,above,0,0.0011214493826134121,0.006103835996001194,0.016422175899040055,-121.158,62.52999999999997
1032268,above,0,0.0005641698805917209,0.004945912524731885,0.03189701333147883,-2834.9336000000003,-1616.8513000000003
1032269,above,0,0.004809001333591304,0.015076187524285333,0.05505293634086236,264.2841,754.5605
1032270,above,0,0.08464577186135332,0.023836607871021268,0.1717495861404552,2002.0612999999998,734.4642
1032271,above,0,0.0021722596936151165,0.02196712635189349,0.1319382462258296,-3143.2104999999997,846.7535999999998
1032272,above,0,0.0016632578890026298,0.020206945987359247,0.056142335478589864,-20980.0781,3739.1018
1032278,below,1,0.25816879931939385,0.038679578995041625,0.4981796978891856,10184.131100000002,1114.3846999999998
1032279,below,0,0.047436006370475674,0.012628810835650185,0.447402375043196,2540.8162,325.82640000000004
1032280,below,0,0.0609704295973093,0.020545544534447905,0.13150991949707352,10284.8024,2827.8403
1272712,above,0,0.007166084440942616,0.1739440787223573,0.2938444210709288,-12778.9341,4335.6572000000015
1272717,above,0,0.02781960734881474,0.031126382147853432,0.12086638871533548,1376.5414,948.1909999999999
1295944,above,0,0.0,0.2379604044442294,0.25359075689155725,-959.1674999999999,11004.659000000001
1295945,above,0,0.001880488107054184,0.12160422120524693,0.3103006653408104,6.697400000000016,11659.873400000002
2001179,below,1,0.08449692513053844,0.06368666918424318,0.4994221646558026,-911.9049000000001,-32.560400000000044
2001188,below,1,0.08346690348992501,0.0011662819182783268,0.6985123781616077,-2317.5290000000005,-757.8050000000001
2001189,below,1,0.016145878363000906,0.022464200902587432,0.1577107782910702,-757.1852,-206.28020000000006
2001214,above,0,0.06606707431219457,0.08981508567226337,0.3260559734678355,-4724.686500000001,1970.0203999999999
2001237,above,0,0.011940666207194807,0.4248370848521964,0.4633397203446618,-14921.797999999999,7948.6083
2001245,above,0,0.11230439819643694,0.16512292751281044,0.5449511418657644,-1327.0409000000002,1218.9142
2001247,above,0,0.012838460209980763,0.245513450257203,0.5632608752038437,-1379.8078,1816.1428000000003
2001248,above,0,0.012754512919111258,0.37053836316819994,0.5976460515804276,-2175.8091,3151.8109999999997
2001254,above,0,0.13832868908837587,0.3636525590377595,0.73604726988942,632.5301999999999,2582.0371000000005
2251146,above,0,0.0001870101394626779,0.25358142650559623,0.32248584136215724,-1822.4300999999998,8985.1013
2481205,above,0,0.0,0.2712654548280937,0.32744776392115427,-314.34,1712.21
1032408,below,0,0.20649900301226554,0.035790275785125794,0.8847143652872282,42678.7841,5540.8257
1032409,below,0,0.11505779892347885,0.018242956825267543,0.8750905800931866,5660.390299999999,822.5559
1032410,below,0,0.3253525960210215,0.06174087952863133,0.6615191693842544,10695.732,2064.7213
1032411,below,0,0.17957290539860501,0.11447019987973217,0.6499693832932582,1547.8382,677.5509
1032412,below,0,0.06271601300405388,0.04838487613405576,0.2583794675637866,452.71239999999995,355.2306
1032413,below,0,0.001485691607365824,0.009314627565329033,0.03827142874610042,-26.773599999999988,439.6491
1032414,below,0,0.007857459428244111,0.14704725074482403,0.22792680676258498,-69.56089999999999,1828.1135
1494702,above,0,0.02400845425117967,0.25177200781785863,0.3749780413344232,-14978.379200000007,230680.1106
1494703,above,0,0.007521164901319152,0.11146974116019186,0.2097819689401691,-44695.806899999996,101372.03900000002
1652672,above,0,0.07993134866486651,0.24867515994814263,0.4578650361150514,-903.4483000000008,18667.056499999995
1652677,above,0,0.052487795529521396,0.4017964964039461,0.5735023618695615,-48030.575100000024,116643.10909999999
1652685,above,0,0.10879084611815416,0.3987517411734985,0.6802967941767282,10894.029999999999,89782.0531
1652690,above,0,0.016517322447052778,0.48205042717971,0.6333239882713624,-51782.47619999999,293341.3516000001
1652691,above,0,0.07448460792444832,0.44885964174686893,0.6752126862079363,59925.255300000004,393665.17889999994
1652695,below,0,0.14862280431892805,0.03252417883826551,0.7095372629209723,45235.96569999999,10257.1385
1652697,below,1,0.06909952404522987,0.01880523849440494,0.6942031335115585,14459.8585,-1753.6742000000013
1652706,below,1,0.02401658779603377,0.053750932012988396,0.5232883746046646,-41318.244999999995,3544.652299999997
2213806,above,0,0.016210957194311964,0.2925859104321001,0.657337115623046,-11855.101800000004,33086.1076
2233174,below,1,0.022375077574586916,0.0035688807815263106,0.6823355339309568,-30960.0623,-1553.4701000000002
2233175,below,1,0.04041102630006876,0.003930443456189738,0.9071688637500914,-10700.894700000003,-6013.4800000000005
2235983,above,0,0.02688273676189409,0.20288129371471156,0.6211524880072736,-512.6578000000009,34976.705
2487322,above,0,0.002405057459651886,0.0817637524465497,0.39077197338673514,-2391.9502,2776.2028000000005
2487323,above,0,0.00039993273131459285,0.30027684383486697,0.41082990560987637,-285.5291,37369.8727
2501440,below,1,0.18573688979578842,0.007945410894320055,0.8385857011888783,2598.8355999999994,-2558.1097999999993
2652149,above,0,0.0,0.06172164350612965,0.2752451669867944,-224.0,111.0
2652150,above,0,0.0,0.02848932928775183,0.3792695850784808,-34.0,135.47
2652151,above,0,0.0,0.6242029502795395,0.6694214114253879,-1805.7558,11604.4617
1125373,above,0,0.021008210159901702,0.03918425985047343,0.5471884743473114,-163.0803,149.38109999999998
1125374,above,0,0.04978701848929121,0.22218821806479747,0.35927646600847923,462.7606,583.1852999999999
1125382,below,0,0.06878790320923406,0.526760725082626,0.6432147345653414,-858.1800000000002,5883.0965
1125383,below,0,0.002794618850072661,0.33241298661208685,0.42927686547538274,-3966.9910000000004,6211.0713000000005
2236208,above,0,0.0,0.3372699177514805,0.4232321544699017,-796.2069,2342.2625
2236209,below,0,0.004209522304269774,0.3134521964716708,0.33080711522888556,-1214.9902000000002,1032.2419
2236210,below,0,0.043162576852244804,0.6250854369504553,0.7995514562799163,-752.29,2884.3585000000003
2236211,below,0,0.0042521982079143875,0.16981773101873118,0.48864178892636234,-147.2468,1022.3657000000001
2236212,below,0,0.0,0.4414726283842561,0.9808610172270914,-484.0,654.1650999999999
2236358,above,1,0.012356551729383053,0.0,0.8219808183944078,-212.4307,-54.53
2350540,above,0,0.0,0.11074731537644213,0.5811829638522016,-81.7474,261.39
2350541,above,0,0.0,0.00990521070560193,0.38255193272527627,-36.2317,20.52
2350542,above,0,0.04343115099235936,0.38874683814443817,0.9682065011965044,154.7265,1394.61
2350543,above,0,0.016545003864703887,0.42168260398809837,0.8156584841034525,-499.0589,1929.5108
2350544,above,0,0.041497059837009354,0.03331949205374047,0.5201199045647961,-2860.0800000000004,75.92150000000001
2350545,above,0,0.0903353547781549,0.11094931609538676,0.833949709953126,-5050.308800000001,704.4472
2350546,above,0,0.1186880920850044,0.05101767474425344,0.5969940181347451,-6805.0767000000005,924.7271
2350548,below,1,0.04372150616282596,0.008220515922824925,0.8587991748245103,91.67800000000001,-49.843199999999996
2350549,below,1,0.18198381648464662,0.013955547783584273,0.61724563167454,2331.061,-1139.216
2350550,below,1,0.12616573280858218,0.027065508912376995,0.6362537175801113,1042.2823,327.26
2350551,below,1,0.23694435940325323,0.0228709919597295,0.6968784171169464,4538.807999999999,449.25919999999996
2350552,below,1,0.11204254577683288,0.017917258110732394,0.667895482430302,1159.013599999999,291.8976
2350553,below,0,0.39048405919043294,0.00618045474503993,0.5531521317337084,5653.912599999999,-268.0588
2350568,above,0,0.002478330429761103,0.5908416879437185,0.7373350589623696,-3234.0175,39027.873
2350569,above,0,0.0029395845281676644,0.5860201123358458,0.9109988851437243,-498.3344,7269.832099999999
2350570,above,0,0.0051468667572726135,0.19794684945086283,0.5583615464485429,-166.74559999999997,11072.1835
2350571,above,0,0.024976443657277504,0.3366697554760301,0.7631629908796412,-92.77599999999984,10580.440000000004
2350572,above,0,0.10858943553530381,0.10026976592243103,0.5719113541161346,2243.3876000000005,7520.609199999999
2350573,above,0,0.04309024649231231,0.15672347491341204,0.32838512039256806,-5268.3906,17994.016700000004
2350574,above,1,0.0,0.05982039547980072,0.8678970640125238,-851.0,151.75120000000004
2350575,below,1,0.041172580098914016,0.04639324902995157,0.9259095404835046,-16728.557599999996,445.00519999999904
2350576,below,1,0.12091673808236,0.031192953590718272,0.8646369135015665,-15041.103100000004,-16400.0189
2350577,below,0,0.12992627212065147,0.08138593908646834,0.8316173001019825,4963.4915,3360.408
2350578,below,0,0.013602406693647456,0.01634703162094906,0.8827921780786147,-328.43999999999994,215.31
2350579,below,0,0.0,0.16875682857524751,0.16875682857524751,0.0,202.0089
2350580,below,0,0.0,0.0,0.13354978302099593,-7.63,0.0
2350586,below,0,0.1782965030717498,0.6751865152109282,0.8874674062149613,791.2090000000001,3000.0
2386369,above,0,0.0012131857436422618,0.49786899677979135,0.5656990348533573,200.0,82076.30189999999
2386370,above,0,0.0,0.8615619939941328,0.8986995282248195,0.0,23198.2144
2423566,below,1,0.06550781469927437,0.08801592359413746,0.8626183116739287,319.444,-224.2441000000003
2423568,below,1,0.006379267900900355,0.06410933201250175,0.8319849893775386,-112.9804,-4482.701900000001
2423576,below,1,0.10929769695879223,0.007429012912314244,0.8803417219095666,-18882.462399999997,-26769.310399999995
2423577,below,0,0.38641324062159993,0.010787976911785154,0.750123430890113,74728.63630000001,-10017.453699999998
2423578,above,0,0.030305559312573213,0.33600466805697216,0.5719328585163115,-20777.5289,11909.129700000001
2423579,above,0,0.10839689408242444,0.23379856500008545,0.8787739630211199,-4315.916400000002,4736.2510999999995
2423580,above,0,0.0172675121464104,0.5574983552778463,0.6849341315595003,-65.5207,8785.8076
2492328,above,0,0.028445450233838796,0.06932275120713859,0.23918332419370306,-27023.277000000002,5672.8688
2569220,above,0,0.004528625580192076,0.0825804809454055,0.10915305233764637,-8836.283499999998,6230.729200000001
2569221,above,0,0.01131002013102783,0.11159621053265961,0.30645076378505437,-22522.7906,4131.3916
2569222,above,0,0.00635126549735542,0.14215836341309543,0.3319924376518738,-50910.24270000001,7283.164
2410560,above,0,0.0,0.1880753187638578,0.25439620189853135,-11071.53,210398.80460000006
2410561,above,0,0.00020537956719786658,0.05327646896123646,0.15211053108000683,-57.779999999999994,8121.327299999999
2410562,above,0,0.0,0.04384871983001344,0.19897623113413013,0.0,10920.468100000002
2410563,above,0,0.0,0.03539680552642519,0.09776308023349232,0.0,10533.7964
2410564,above,0,0.03692683377728188,0.06697062878989818,0.555828194273313,1933.7462999999998,6985.331500000001
2410565,above,0,0.04043208680029262,0.05829012537654242,0.2163372952478081,7019.7955999999995,10522.2919
2410566,above,0,0.04181176815959568,0.04486945967326976,0.23484982954762232,13664.2596,13842.7305
2410567,above,0,0.05794674993223117,0.04028943239166367,0.40339013790287276,16181.1567,11407.274200000002
2410568,above,0,0.0854445916361506,0.17854959342773713,0.4714544128549274,24983.17860000001,51728.9678
2410569,above,0,0.017184365231175506,0.1657752645624353,0.45538449761038047,1460.0490999999993,43448.78660000001
2410570,below,1,0.00044935611849763454,0.0026917761832720524,0.5588570151865868,-6588.2161,-675.3668
2410571,below,1,0.12312998316750277,0.052909268993670926,0.49905803299538204,1629.2199999999998,519.0962
2410572,below,1,0.10693107017624033,0.014624071272152456,0.36886668338261874,10653.194399999997,-17038.1932
2410573,below,1,0.13215837643410097,0.029329689517831898,0.6788037281327562,13338.8636,-1317.8108000000002
2410574,below,1,0.07547167634247089,0.18110623418667815,0.621505308318981,17016.3304,28660.792600000023
2410575,below,0,0.01882634362549112,0.33938706209578745,0.5668210268018492,-40817.911899999985,150620.0728
2410576,below,0,0.03472257008019717,0.20643214796936707,0.34847697395322835,-4004.838999999999,28400.538700000005
2410577,below,0,0.011929926672596597,0.18495263100118678,0.5013865850220355,-3302.4572,70006.09120000001
2410578,below,0,0.009423118340333944,0.219951237816726,0.4475887010016524,-15723.060899999999,107380.74949999996
2410579,below,0,0.004548533286991434,0.350443106181203,0.6938724395216144,-2164.6836000000003,151646.1189999999
2410580,above,0,6.561578773059722e-05,0.17598202590851705,0.2405794548200543,15.6704,68620.8696
2410581,above,0,0.0023740578050674395,0.5651570159384117,0.6268690959473353,486.9732,119027.64429999999
2410582,above,0,0.0034973076057834953,0.7423595585013147,0.883643546348224,489.88,106133.00889999999
2410583,above,0,0.0022527107261160213,0.6785869900653642,0.8972246065609516,-278.264,100410.4215
2410584,above,0,0.0013010164058617627,0.3264363331219227,0.5106685423654372,-50.0,50102.7597
2410585,above,0,0.00016953442610326738,0.6933584268907005,0.8627445716066611,-530.2061,132299.9695
2410586,above,0,0.017144567978412958,0.6650878772870398,0.908560118150866,1994.682,82205.9825
2410587,above,0,0.006177700971990578,0.6931157038840113,0.7983978649038885,416.08549999999985,78357.7958
2410588,above,0,1.3006724469122651e-05,0.6169232491654804,0.855228416594447,-428.1188,122929.9722
2410589,above,1,0.0,0.3790234446182264,0.4069169448715158,-18.36,1155.0
2410590,below,1,0.08101456226128612,0.026930016262415354,0.9890758596185483,-9277.822400000001,-1173.34
2410591,below,1,0.13713979910059934,0.01989896918942231,0.6849084542625622,2201.6898,-3248.5926
2410592,below,1,0.034890975543058304,0.06183153190767328,0.8228162814610154,870.3628,-248.14209999999994
2410593,below,1,0.003709265744089384,0.33766608720582175,0.6004647312936496,-110.39420000000001,3736.7507999999993
2410594,below,0,0.02372612226450035,0.13723902446154987,0.4889515239015267,-3390.1070999999993,10528.098599999998
