thr,s_ema,s_in,s_out,l_ema,l_in,l_out,avg_ret,avg_trades,neg_coins,total_coins,total_liqs,avg_sharpe,avg_mdd
12,4,0.3,1.5,8,1.0,0.5,286.2015,103.5385,1,13,0,1.7412,38.2569
10,4,0.3,1.5,3,1.0,0.5,285.97,104.4615,1,13,0,1.6577,41.6649
12,4,0.3,1.5,8,0.5,0.5,284.5581,104.5385,1,13,0,1.7356,38.587
10,4,0.3,1.5,8,1.0,0.5,278.4856,109.6154,1,13,0,1.6597,40.5904
12,4,0.3,1.5,5,0.5,1.0,278.4312,103.8462,1,13,0,1.6809,39.6762
12,4,0.3,1.5,5,0.5,0.5,276.9353,105.4615,1,13,0,1.7122,39.268
12,4,0.3,1.5,3,1.0,0.5,276.0609,102.0,1,13,0,1.7023,39.3566
12,4,0.3,1.5,5,1.0,0.5,275.5554,103.6923,1,13,0,1.7157,38.6233
10,4,0.3,1.5,5,1.0,1.0,275.3882,106.1538,2,13,0,1.603,41.0272
12,4,0.3,1.5,8,1.0,1.0,273.4603,103.1538,1,13,0,1.7066,39.087
10,4,0.3,1.5,8,0.5,0.5,273.2014,112.5385,1,13,0,1.6421,41.3551
12,4,0.3,1.5,8,0.5,1.0,271.937,103.8462,1,13,0,1.6924,39.5371
10,4,0.3,1.5,8,1.0,1.0,271.7427,107.3846,2,13,0,1.6205,40.9861
12,4,0.3,1.5,5,1.0,1.0,269.9422,102.9231,1,13,0,1.6777,39.2893
10,4,0.3,1.5,3,0.5,0.5,269.3819,112.2308,2,13,0,1.623,42.4173
10,4,0.5,1.5,3,1.0,0.5,268.1703,99.6154,2,13,0,1.5853,39.9259
12,4,0.3,1.5,3,0.5,0.5,267.4268,105.1538,1,13,0,1.6932,39.8061
10,4,0.3,1.5,8,0.5,1.0,265.1564,109.2308,2,13,0,1.5911,42.0074
10,4,0.3,1.5,5,0.5,1.0,261.5989,108.7692,1,13,0,1.5457,42.1368
12,4,0.3,1.5,3,1.0,1.0,260.4161,101.6154,1,13,0,1.6306,41.3151
12,4,0.5,1.5,8,0.5,0.5,260.0914,100.6154,1,13,0,1.622,38.3414
10,4,0.3,1.5,5,1.0,0.5,258.7069,109.2308,2,13,0,1.6324,41.1394
12,4,0.5,1.5,8,1.0,0.5,258.187,99.4615,1,13,0,1.6234,38.3419
12,4,0.5,1.5,5,0.5,1.0,257.6607,99.7692,2,13,0,1.5537,39.4174
10,4,0.5,1.5,8,1.0,0.5,255.0901,105.6923,2,13,0,1.5501,40.2173
