Coin,Strategy,Jun'25,Jul'25,Aug'25,Sep'25,Oct'25,Nov'25,Dec'25,Jan'26,Feb'26,Mar'26,Apr'26,May'26,Full Year
OP,Short Returns,0.060,0.064,0.063,-0.022,0.738,-0.024,0.057,0.182,0.896,-0.013,-0.010,0.031,4.337
OP,Short Trades,32,38,30,22,26,41,23,27,31,22,21,22,333
OP,Short Win Rate,0.470,0.390,0.470,0.270,0.500,0.340,0.430,0.440,0.520,0.270,0.430,0.360,0.410
OP,Long/Short Returns,0.308,0.351,0.054,0.058,0.323,0.003,-0.273,-0.067,0.540,0.057,-0.035,0.216,2.864
OP,Long/Short Trades,26,35,27,17,31,39,29,27,33,20,24,19,341
OP,Long/Short Win Rate,0.580,0.460,0.370,0.410,0.420,0.330,0.240,0.260,0.480,0.350,0.420,0.470,0.400
OP,Hybrid Returns,0.312,0.074,0.068,0.041,0.756,-0.052,0.095,0.081,0.873,0.008,-0.026,0.073,4.906
OP,Hybrid Trades,26,34,26,18,24,40,19,26,29,19,19,22,320
OP,Hybrid Win Rate,0.580,0.380,0.500,0.280,0.540,0.300,0.530,0.420,0.520,0.320,0.420,0.360,0.420
TRUMP,Buy Hold,-0.210,0.016,-0.028,-0.143,0.081,-0.243,-0.199,-0.126,-0.180,-0.133,-0.209,-0.153,-0.820
TRUMP,Long Returns,0.020,0.052,-0.013,-0.038,0.492,0.017,-0.092,-0.079,-0.095,0.017,-0.152,-0.090,-0.149
TRUMP,Long Trades,5,10,8,2,10,9,3,5,14,10,8,6,91
TRUMP,Long Win Rate,0.400,0.400,0.380,0.500,0.600,0.220,0.000,0.200,0.430,0.400,0.250,0.170,0.350
TRUMP,Short Returns,0.293,0.074,-0.071,0.136,0.469,0.466,0.117,-0.035,0.346,0.289,0.210,0.033,7.604
TRUMP,Short Trades,11,22,16,6,17,20,7,11,17,20,14,11,167
TRUMP,Short Win Rate,0.450,0.410,0.310,0.500,0.470,0.650,0.430,0.360,0.470,0.600,0.640,0.450,0.510
TRUMP,Long/Short Returns,0.237,0.103,-0.153,0.096,0.856,0.164,0.076,0.036,-0.044,0.321,-0.060,-0.100,2.160
TRUMP,Long/Short Trades,10,24,14,4,16,24,7,10,26,20,14,15,192
TRUMP,Long/Short Win Rate,0.600,0.420,0.210,0.500,0.560,0.460,0.430,0.400,0.350,0.600,0.430,0.130,0.420
TRUMP,Hybrid Returns,0.299,0.071,-0.156,0.087,0.501,0.220,0.135,0.131,0.278,0.121,0.131,0.031,5.050
TRUMP,Hybrid Trades,9,20,15,3,16,21,6,8,18,17,13,10,162
TRUMP,Hybrid Win Rate,0.560,0.450,0.200,0.670,0.500,0.570,0.500,0.500,0.390,0.470,0.620,0.400,0.480
