thr,s_ema,s_in,s_out,l_ema,l_in,l_out,avg_ret,avg_trades,neg_coins,total_coins,total_liqs,avg_sharpe,avg_mdd
12,8,0.5,0.75,8,0.5,0.5,9649.1602,279.3077,8,13,0,1.495,89.0488
10,4,0.5,0.75,5,0.5,0.5,9461.7628,269.6923,8,13,0,1.2975,93.2978
8,6,0.3,0.75,8,1.0,0.5,9334.7975,318.0,9,13,0,1.2224,95.1397
12,6,0.3,0.75,8,0.5,1.0,9294.602,314.0,7,13,0,1.3642,93.6062
10,4,0.5,0.75,5,0.5,1.0,8995.2875,258.1538,9,13,0,1.1754,93.7011
12,8,0.5,0.75,5,1.0,0.5,8972.558,275.7692,8,13,0,1.483,89.033
8,8,0.5,0.75,5,0.5,0.5,8930.7257,295.9231,9,13,0,1.1822,90.655
8,8,0.3,0.75,5,0.5,1.0,8909.6284,306.3846,11,13,0,1.048,93.7785
10,4,0.3,0.75,8,0.5,0.5,8818.8042,299.6923,7,13,0,1.4569,94.5001
10,8,0.3,0.75,8,1.0,1.0,8806.0355,304.0769,10,13,0,1.2722,91.2162
8,8,0.5,1.0,3,0.5,0.5,8781.1999,239.6154,7,13,0,1.4365,91.4559
12,6,0.5,0.75,5,0.5,1.0,8504.2601,280.6154,9,13,0,1.2905,90.5824
10,8,0.3,0.75,5,1.0,1.0,8489.1844,301.0769,9,13,0,1.2353,91.6725
10,8,0.3,0.75,5,1.0,0.5,8330.1094,306.6923,8,13,0,1.3801,90.731
8,4,0.3,0.75,5,0.5,1.0,8212.1926,289.4615,10,13,0,1.2243,96.0201
12,8,0.5,0.75,5,1.0,1.0,8158.3536,273.3077,8,13,0,1.3903,89.8949
8,8,0.3,0.75,3,0.5,0.5,8158.2898,315.3077,10,13,0,1.2036,91.9315
12,6,0.5,0.75,8,1.0,0.5,8120.5465,281.3077,8,13,0,1.4301,89.1018
8,4,0.5,0.75,5,0.5,0.5,8119.8997,274.4615,8,13,0,1.1741,94.7793
10,8,0.3,1.0,8,1.0,1.0,8040.5794,243.5385,8,13,0,1.5226,92.3686
10,8,0.3,1.0,5,0.5,0.5,7973.6572,257.5385,7,13,0,1.4913,92.6004
8,4,0.3,0.75,3,0.5,0.5,7963.5186,297.7692,8,13,0,1.3568,95.4565
8,6,0.3,1.0,5,0.5,0.5,7951.0584,260.4615,8,13,0,1.3397,95.1896
8,6,0.3,0.75,8,0.5,1.0,7929.4413,318.0,11,13,0,1.0573,95.3431
8,6,0.5,0.75,8,0.5,0.5,7925.0304,299.0769,9,13,0,1.1902,93.1237
8,8,0.5,1.0,8,0.5,0.5,7868.948,245.7692,8,13,0,1.4385,92.5523
12,6,0.3,0.75,3,0.5,1.0,7867.8593,310.0769,11,13,0,1.0438,95.1506
12,6,0.5,0.75,5,0.5,0.5,7835.0453,284.4615,8,13,0,1.404,89.6217
10,8,0.3,0.75,8,1.0,0.5,7710.042,309.3077,9,13,0,1.3596,91.3468
8,6,0.5,1.0,8,0.5,0.5,7632.6588,244.1538,8,13,0,1.3396,93.7618
10,4,0.5,0.75,8,0.5,0.5,7628.3566,269.2308,8,13,0,1.3165,93.3512
10,8,0.3,0.75,8,0.5,1.0,7592.1354,309.1538,10,13,0,1.1551,91.6644
10,6,0.5,0.75,5,0.5,1.0,7573.3165,282.7692,11,13,0,1.0236,92.8339
10,4,0.3,0.75,8,1.0,1.0,7539.9208,286.8462,8,13,0,1.4495,94.2112
12,6,0.5,0.75,3,1.0,0.5,7501.1066,277.5385,8,13,0,1.431,88.8996
8,6,0.5,1.0,3,0.5,0.5,7460.4585,238.6154,7,13,0,1.335,92.8901
10,4,0.5,0.75,8,1.0,1.0,7414.6352,256.0769,8,13,0,1.3106,92.4983
10,6,0.5,0.75,5,0.5,0.5,7385.8786,294.9231,8,13,0,1.1752,92.307
8,6,0.5,0.75,3,0.5,0.5,7313.3119,291.9231,9,13,0,1.1827,92.112
10,8,0.5,0.75,5,0.5,0.5,7262.0837,291.2308,9,13,0,1.2257,89.9501
10,8,0.3,1.0,8,0.5,1.0,7253.3728,248.3077,7,13,0,1.4324,92.6373
12,6,0.5,0.75,3,1.0,1.0,7234.2617,276.6154,8,13,0,1.3502,90.1098
12,6,0.5,0.75,3,0.5,0.5,7205.6037,283.2308,8,13,0,1.3327,90.3759
12,6,0.5,0.75,8,1.0,1.0,7187.3098,279.6154,8,13,0,1.3769,89.5795
12,6,0.5,0.75,8,0.5,0.5,7183.5807,284.1538,8,13,0,1.4217,89.3891
10,4,0.5,0.75,8,0.5,1.0,7115.5267,261.0,7,13,0,1.2165,93.1663
8,6,0.5,0.75,5,0.5,1.0,7097.7023,283.9231,10,13,0,1.0457,93.6686
8,6,0.3,0.75,8,1.0,1.0,7077.8639,311.7692,11,13,0,1.0951,95.7121
8,6,0.3,0.75,5,1.0,0.5,7075.4529,313.6154,9,13,0,1.2429,94.2836
10,6,0.5,1.0,5,0.5,1.0,6984.8534,228.6923,9,13,0,1.1964,93.5116
10,8,0.3,0.75,3,0.5,0.5,6979.7124,312.8462,9,13,0,1.2988,91.851
10,6,0.5,0.75,8,0.5,1.0,6895.2224,285.4615,9,13,0,1.1069,92.2718
10,8,0.3,0.75,3,1.0,0.5,6860.4844,298.4615,8,13,0,1.4403,90.8131
10,8,0.5,0.75,5,0.5,1.0,6796.2958,278.5385,10,13,0,1.0773,91.7379
12,8,0.5,0.75,8,0.5,1.0,6677.5561,276.0769,8,13,0,1.442,88.6331
12,6,0.5,0.75,5,1.0,0.5,6676.8468,280.6154,8,13,0,1.4094,88.9433
10,4,0.3,0.75,5,1.0,1.0,6649.293,283.7692,8,13,0,1.4468,94.5775
8,8,0.5,0.75,8,0.5,0.5,6514.2296,296.0,9,13,0,1.209,90.7511
10,4,0.3,0.75,5,1.0,0.5,6500.0577,289.0769,5,13,0,1.556,93.7155
8,6,0.3,1.0,8,0.5,0.5,6491.995,259.9231,8,13,0,1.3722,95.2971
10,8,0.3,0.75,3,1.0,1.0,6457.9061,293.6154,10,13,0,1.211,93.4938
8,6,0.3,0.75,5,1.0,1.0,6423.6277,306.6923,10,13,0,1.1235,94.9592
10,8,0.3,1.0,8,0.5,0.5,6422.5463,257.0769,7,13,0,1.5149,92.5446
8,4,0.5,0.75,8,0.5,0.5,6366.6488,274.0769,9,13,0,1.2127,94.6589
8,8,0.5,1.0,8,0.5,1.0,6322.9692,235.9231,8,13,0,1.3147,92.6115
10,8,0.5,1.0,8,1.0,1.0,6318.7421,226.7692,9,13,0,1.5039,90.6921
8,4,0.5,0.75,3,0.5,0.5,6310.3448,267.7692,8,13,0,1.2287,94.5275
8,8,0.3,0.75,8,1.0,0.5,6290.15,310.9231,10,13,0,1.2549,92.5933
8,4,0.3,0.75,8,0.5,1.0,6236.8129,293.6923,10,13,0,1.2171,95.8519
10,6,0.5,0.75,8,0.5,0.5,6224.7404,294.4615,8,13,0,1.2116,92.3101
8,6,0.3,0.75,3,1.0,0.5,6186.1185,304.0769,7,13,0,1.2678,94.4555
10,6,0.5,1.0,8,1.0,1.0,6071.9837,226.1538,8,13,0,1.3791,92.8967
12,6,0.5,0.75,5,1.0,1.0,6058.0248,278.6154,9,13,0,1.2995,90.1072
10,8,0.5,1.0,8,0.5,1.0,6032.6332,231.8462,9,13,0,1.4181,90.9948
10,6,0.5,0.75,8,1.0,1.0,6019.1733,280.0,9,13,0,1.2131,91.9382
10,8,0.5,1.0,5,0.5,0.5,6016.5673,240.9231,7,13,0,1.4716,91.1948
12,8,0.5,0.75,3,0.5,1.0,5928.2627,272.3077,11,13,0,1.1121,93.1143
10,4,0.3,0.75,8,1.0,0.5,5926.4874,291.4615,6,13,0,1.5319,94.0314
8,8,0.3,1.0,8,1.0,0.5,5893.3991,251.7692,7,13,0,1.4773,93.3699
10,4,0.5,0.75,5,1.0,1.0,5866.5524,252.7692,8,13,0,1.3114,93.2956
10,8,0.5,0.75,8,0.5,0.5,5865.868,290.9231,9,13,0,1.2502,89.8925
10,6,0.5,1.0,8,0.5,1.0,5855.4596,230.8462,7,13,0,1.3021,93.4114
10,8,0.3,1.0,5,1.0,1.0,5850.3133,240.6154,7,13,0,1.49,92.4605
8,6,0.3,1.0,3,0.5,0.5,5809.7227,254.7692,8,13,0,1.345,95.1371
10,8,0.3,1.0,5,1.0,0.5,5773.916,245.8462,7,13,0,1.6154,91.6063
10,4,0.5,0.75,3,0.5,0.5,5765.565,263.6923,8,13,0,1.3551,93.3999
10,4,0.5,0.75,5,1.0,0.5,5751.4146,257.7692,8,13,0,1.4185,92.009
8,6,0.5,1.0,8,0.5,1.0,5697.7505,235.0769,7,13,0,1.2006,93.9602
10,6,0.5,1.0,5,0.5,0.5,5619.2398,239.2308,7,13,0,1.371,92.9998
10,8,0.5,0.75,8,0.5,1.0,5585.8085,281.6923,10,13,0,1.1399,90.3779
10,6,0.3,1.0,5,0.5,1.0,5582.963,244.6923,9,13,0,1.2444,95.062
10,4,0.3,0.75,3,0.5,0.5,5568.6535,294.6923,6,13,0,1.4878,94.1848
8,6,0.5,0.75,8,0.5,1.0,5566.4541,288.3846,10,13,0,1.0592,93.0
10,4,0.5,0.75,8,1.0,0.5,5566.1192,260.4615,8,13,0,1.3929,92.8158
8,8,0.5,0.75,3,0.5,0.5,5543.0834,288.6154,9,13,0,1.2091,90.38
8,8,0.5,0.75,5,0.5,1.0,5497.3583,280.1538,11,13,0,1.0624,93.1444
10,4,0.3,0.75,3,1.0,0.5,5430.6435,281.6923,5,13,0,1.5984,93.9648
10,8,0.5,0.75,8,1.0,1.0,5398.8318,276.2308,10,13,0,1.2604,89.664
8,8,0.3,1.0,8,0.5,1.0,5309.1433,251.5385,9,13,0,1.339,94.1352
8,8,0.3,1.0,3,0.5,1.0,5231.9186,234.0769,11,13,0,0.9327,95.9103
10,6,0.5,0.75,5,1.0,1.0,5148.0419,277.0,7,13,0,1.1725,92.5576
10,6,0.3,1.0,8,1.0,1.0,5137.0411,242.4615,9,13,0,1.4179,94.6862
10,8,0.3,1.0,3,0.5,0.5,5136.2992,251.6154,7,13,0,1.5468,92.4029
10,4,0.3,0.75,3,1.0,1.0,5071.962,277.6154,8,13,0,1.3869,95.4856
10,6,0.5,0.75,5,1.0,0.5,5039.3668,282.2308,7,13,0,1.3158,90.7956
12,6,0.5,0.75,8,0.5,1.0,4922.0899,281.3846,8,13,0,1.3539,89.712
8,6,0.5,1.0,5,0.5,1.0,4910.0148,231.3077,9,13,0,1.1712,94.6798
10,8,0.3,1.0,3,1.0,0.5,4894.4735,238.0769,6,13,0,1.6682,91.2387
10,8,0.5,0.75,5,1.0,1.0,4871.4533,273.3077,10,13,0,1.2164,91.3294
10,8,0.5,1.0,8,0.5,0.5,4871.0276,240.5385,8,13,0,1.4955,91.3014
10,6,0.3,1.0,5,0.5,0.5,4870.4246,255.2308,8,13,0,1.4244,95.0217
10,8,0.3,1.0,8,1.0,0.5,4861.5604,248.4615,7,13,0,1.5962,92.0776
10,6,0.5,0.75,3,0.5,0.5,4857.4315,288.4615,7,13,0,1.2446,92.0423
10,8,0.5,0.75,5,1.0,0.5,4840.7754,278.8462,9,13,0,1.3593,88.6068
12,8,0.3,1.0,3,1.0,0.5,4825.0756,240.9231,7,13,0,1.6555,90.5062
10,4,0.5,0.75,3,1.0,0.5,4808.9941,250.2308,7,13,0,1.4672,92.1159
8,8,0.3,1.0,8,1.0,1.0,4711.7356,245.8462,8,13,0,1.3652,94.531
8,8,0.3,1.0,5,1.0,0.5,4693.6454,247.6154,7,13,0,1.5013,92.4049
10,6,0.5,0.75,8,1.0,0.5,4652.0815,284.9231,8,13,0,1.2927,91.8601
8,6,0.3,0.75,3,0.5,1.0,4641.7861,296.3846,12,13,0,0.622,96.6698
8,8,0.3,0.75,8,1.0,1.0,4617.9962,304.6154,10,13,0,1.127,93.0799
8,4,0.5,0.75,8,0.5,1.0,4593.2094,264.3846,9,13,0,1.0606,94.9366
12,8,0.3,1.0,8,1.0,0.5,4591.1452,244.6923,7,13,0,1.654,91.2982
10,6,0.5,1.0,8,0.5,0.5,4575.202,238.6154,8,13,0,1.3967,93.2333
10,8,0.5,0.75,3,0.5,0.5,4574.8196,285.0,9,13,0,1.2858,89.7183
12,8,0.3,1.0,3,1.0,1.0,4573.1715,239.9231,7,13,0,1.5876,90.67
10,6,0.3,0.75,3,0.5,1.0,4547.5542,302.7692,12,13,0,0.7026,96.258
10,6,0.3,1.0,8,0.5,1.0,4544.4174,246.7692,8,13,0,1.3473,94.6312
10,8,0.3,1.0,3,1.0,1.0,4515.0368,234.0,7,13,0,1.4444,93.4192
10,8,0.5,0.75,8,1.0,0.5,4509.669,281.3846,9,13,0,1.3415,88.7708
12,4,0.3,0.75,3,1.0,0.5,4501.0831,285.2308,6,13,0,1.6443,94.1255
8,8,0.3,0.75,5,1.0,0.5,4457.7381,306.7692,9,13,0,1.2712,91.6301
12,6,0.5,0.75,3,0.5,1.0,4385.268,278.0,10,13,0,1.0183,93.8612
12,8,0.3,1.0,5,0.5,1.0,4369.9874,244.0769,7,13,0,1.5229,91.9259
8,8,0.3,0.75,8,0.5,1.0,4347.4945,311.3077,10,13,0,1.0756,93.0038
8,4,0.3,0.75,8,1.0,0.5,4345.0976,293.5385,9,13,0,1.393,95.6231
12,8,0.3,1.0,5,0.5,0.5,4307.6363,247.5385,7,13,0,1.6294,91.2075
12,4,0.3,0.75,3,1.0,1.0,4287.9915,284.3077,6,13,0,1.5737,94.4745
10,8,0.5,1.0,3,0.5,0.5,4279.1659,234.9231,7,13,0,1.5317,90.7805
12,4,0.3,0.75,8,1.0,0.5,4234.3541,288.4615,6,13,0,1.6512,94.3026
8,8,0.3,1.0,5,1.0,1.0,4229.7232,240.8462,9,13,0,1.4028,93.4089
8,8,0.3,1.0,3,1.0,0.5,4183.07,238.2308,7,13,0,1.5364,92.0968
10,6,0.5,0.75,3,1.0,0.5,4177.4001,274.0769,6,13,0,1.3792,90.9706
12,8,0.3,1.0,8,0.5,0.5,4173.6376,247.2308,7,13,0,1.6433,91.1885
12,4,0.3,0.75,5,0.5,1.0,4119.5842,288.0,6,13,0,1.5118,95.1187
8,8,0.5,0.75,8,0.5,1.0,4118.307,285.0,10,13,0,1.0881,91.4755
12,8,0.3,1.0,3,0.5,0.5,4067.6192,246.6154,7,13,0,1.5584,91.8482
10,8,0.5,1.0,5,1.0,1.0,4065.4056,223.9231,9,13,0,1.4647,91.2864
8,4,0.5,0.75,5,0.5,1.0,4056.0589,260.2308,9,13,0,1.0755,95.7289
8,8,0.5,1.0,8,1.0,0.5,4053.087,235.3846,7,13,0,1.4601,91.9445
8,6,0.5,1.0,8,1.0,0.5,4051.4689,234.6923,8,13,0,1.3554,93.7752
10,8,0.5,1.0,5,1.0,0.5,4044.6038,229.1538,7,13,0,1.5849,89.8091
12,8,0.3,1.0,5,1.0,0.5,4042.6235,243.8462,7,13,0,1.6396,90.751
12,8,0.3,1.0,8,1.0,1.0,4030.6698,243.0769,7,13,0,1.6078,91.4142
10,8,0.5,0.75,3,1.0,0.5,4007.1417,270.5385,7,13,0,1.4241,88.17
8,8,0.3,0.75,5,1.0,1.0,4002.7213,299.6923,9,13,0,1.1508,92.8452
12,4,0.3,0.75,5,0.5,0.5,3956.9315,291.3846,5,13,0,1.6258,94.5758
10,6,0.5,0.75,3,1.0,1.0,3925.3318,269.5385,7,13,0,1.1652,93.0272
10,6,0.3,1.0,8,0.5,0.5,3918.3292,254.8462,9,13,0,1.4381,94.8363
12,8,0.5,1.0,5,0.5,1.0,3890.2344,225.1538,8,13,0,1.5552,89.2714
8,6,0.5,0.75,8,1.0,0.5,3887.1924,287.4615,9,13,0,1.2245,92.9265
8,8,0.3,0.75,3,1.0,0.5,3881.1867,297.0,8,13,0,1.3004,91.5815
10,4,0.5,0.75,3,1.0,1.0,3873.7535,246.0769,8,13,0,1.2804,94.1725
12,8,0.3,1.0,8,0.5,1.0,3862.8052,244.4615,7,13,0,1.5961,91.3402
12,4,0.3,0.75,8,0.5,0.5,3849.6836,291.1538,5,13,0,1.639,94.2783
12,8,0.5,1.0,8,1.0,0.5,3803.9592,225.6923,7,13,0,1.6819,88.5558
8,8,0.5,1.0,8,1.0,1.0,3788.2493,229.5385,8,13,0,1.353,92.6908
10,8,0.3,0.75,3,0.5,1.0,3756.8796,294.8462,11,13,0,0.7322,95.3677
12,4,0.3,0.75,3,0.5,0.5,3745.6655,290.1538,7,13,0,1.5639,94.8295
8,6,0.3,0.75,3,1.0,1.0,3711.0588,294.2308,9,13,0,1.0946,95.1005
10,8,0.5,0.75,3,1.0,1.0,3709.319,265.5385,10,13,0,1.209,91.7213
12,4,0.3,0.75,8,1.0,1.0,3709.2636,287.1538,7,13,0,1.5861,94.6037
12,4,0.3,0.75,5,1.0,0.5,3707.4132,287.7692,6,13,0,1.6341,94.4345
12,4,0.5,0.75,8,1.0,0.5,3697.616,256.4615,8,13,0,1.4973,92.7718
12,8,0.5,1.0,5,0.5,0.5,3675.9014,228.6154,7,13,0,1.6545,88.6055
12,4,0.3,0.75,8,0.5,1.0,3641.9953,288.8462,5,13,0,1.5704,94.6579
8,4,0.3,0.75,5,1.0,0.5,3636.0289,289.8462,7,13,0,1.413,95.1437
10,6,0.5,1.0,5,1.0,1.0,3623.7735,223.0,7,13,0,1.3625,92.3742
12,8,0.3,1.0,5,1.0,1.0,3619.6901,242.1538,7,13,0,1.545,91.5346
10,6,0.5,1.0,3,0.5,0.5,3606.8516,233.6154,7,13,0,1.416,92.6042
10,8,0.5,1.0,8,1.0,0.5,3605.5647,231.6923,7,13,0,1.5696,90.677
10,6,0.5,1.0,5,1.0,0.5,3592.2761,227.8462,6,13,0,1.4784,91.9015
12,4,0.5,0.75,5,0.5,0.5,3579.6876,259.3846,8,13,0,1.4821,93.2245
