asset,signal_type,filter_mode,threshold,target_pct,stop_pct,hold_hours,raw_hits,dedup_trades,win_rate,avg_market_pnl_pct,avg_funding_pnl_pct,avg_total_pnl_pct,median_total_pnl_pct,max_drawdown_pct,sharpe_like,hard_blocked
BTC,FUNDING_EXTREME_LONG,filter_off,10,3.0,2.0,24,14,14,0.35714285714285715,-0.6009933441389416,0.0070014677103718195,-0.5939918764285698,-0.753620282312824,-8.315886269999977,-0.4088923651556031,no
BTC,FUNDING_EXTREME_LONG,filter_default,10,3.0,2.0,24,10,10,0.3,-0.6448945576237186,0.011233675799086757,-0.6336608818246319,-0.753620282312824,-6.336608818246319,-0.44069216231194364,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,10,3.0,2.0,24,4,4,0.5,-0.4912403104269991,-0.0035790525114155255,-0.4948193629384146,-0.8271375804370668,-3.747080241587565,-0.33333916070187414,no
BTC,FUNDING_EXTREME_LONG,filter_off,10,4.0,2.5,24,14,14,0.35714285714285715,-0.6827775695941436,0.007306425309849967,-0.6754711442842936,-0.753620282312824,-9.456596019980111,-0.4315825776125057,no
BTC,FUNDING_EXTREME_LONG,filter_default,10,4.0,2.5,24,10,10,0.3,-0.7593924732610013,0.011660616438356164,-0.7477318568226452,-0.753620282312824,-7.477318568226451,-0.4701252077405572,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,10,4.0,2.5,24,4,4,0.5,-0.4912403104269991,-0.0035790525114155255,-0.4948193629384146,-0.8271375804370668,-3.747080241587565,-0.33333916070187414,no
BTC,FUNDING_EXTREME_LONG,filter_off,10,5.0,2.5,24,14,14,0.35714285714285715,-0.6827775695941436,0.007306425309849967,-0.6754711442842936,-0.753620282312824,-9.456596019980111,-0.4315825776125057,no
BTC,FUNDING_EXTREME_LONG,filter_default,10,5.0,2.5,24,10,10,0.3,-0.7593924732610013,0.011660616438356164,-0.7477318568226452,-0.753620282312824,-7.477318568226451,-0.4701252077405572,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,10,5.0,2.5,24,4,4,0.5,-0.4912403104269991,-0.0035790525114155255,-0.4948193629384146,-0.8271375804370668,-3.747080241587565,-0.33333916070187414,no
BTC,FUNDING_EXTREME_LONG,filter_off,10,6.0,3.0,24,14,14,0.35714285714285715,-0.6932860847821442,0.008288568166992824,-0.6849975166151513,-0.753620282312824,-9.58996523261212,-0.4336952919265486,no
BTC,FUNDING_EXTREME_LONG,filter_default,10,6.0,3.0,24,10,10,0.3,-0.7741043945242021,0.013035616438356164,-0.7610687780858459,-0.753620282312824,-7.610687780858459,-0.4728291745095728,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,10,6.0,3.0,24,4,4,0.5,-0.4912403104269991,-0.0035790525114155255,-0.4948193629384146,-0.8271375804370668,-3.747080241587565,-0.33333916070187414,no
BTC,FUNDING_EXTREME_LONG,filter_off,10,3.0,2.0,48,14,14,0.35714285714285715,-0.9653102589872976,0.007247635355512067,-0.9580626236317856,-1.8812206344043694,-13.412876730845001,-0.5384204363362852,no
BTC,FUNDING_EXTREME_LONG,filter_default,10,3.0,2.0,48,10,10,0.4,-0.9102074331306498,0.013092123287671231,-0.8971153098429786,-1.8812206344043694,-9.210446057100093,-0.5195130942252777,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,10,3.0,2.0,48,4,4,0.25,-1.1030673236289172,-0.007363584474885844,-1.1104309081038033,-1.3906101303441203,-6.096386452051192,-0.5857017062696946,no
BTC,FUNDING_EXTREME_LONG,filter_off,10,4.0,2.5,48,14,14,0.35714285714285715,-0.9560797219902899,0.008315639269406393,-0.9477640827208835,-1.0140041104360755,-13.26869715809237,-0.5013177461612461,no
BTC,FUNDING_EXTREME_LONG,filter_default,10,4.0,2.5,48,10,10,0.4,-1.1133726114474907,0.013239269406392693,-1.100133342041098,-1.8226618378950363,-11.00133342041098,-0.5754699568890195,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,10,4.0,2.5,48,4,4,0.25,-0.5628474983472881,-0.003993436073059361,-0.5668409344203474,-0.3034301829772088,-3.922026557317369,-0.31837908004320115,no
BTC,FUNDING_EXTREME_LONG,filter_off,10,5.0,2.5,48,14,14,0.35714285714285715,-0.9560797219902899,0.008315639269406393,-0.9477640827208835,-1.0140041104360755,-13.26869715809237,-0.5013177461612461,no
BTC,FUNDING_EXTREME_LONG,filter_default,10,5.0,2.5,48,10,10,0.4,-1.1133726114474907,0.013239269406392693,-1.100133342041098,-1.8226618378950363,-11.00133342041098,-0.5754699568890195,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,10,5.0,2.5,48,4,4,0.25,-0.5628474983472881,-0.003993436073059361,-0.5668409344203474,-0.3034301829772088,-3.922026557317369,-0.31837908004320115,no
BTC,FUNDING_EXTREME_LONG,filter_off,10,6.0,3.0,48,14,14,0.35714285714285715,-1.01640102219375,0.009546151337247228,-1.0068548708565028,-1.0140041104360755,-14.095968191991041,-0.5158884843588373,no
BTC,FUNDING_EXTREME_LONG,filter_default,10,6.0,3.0,48,10,10,0.4,-1.197822431732335,0.014961986301369863,-1.182860445430965,-1.8226618378950363,-11.828604454309652,-0.5946809231579208,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,10,6.0,3.0,48,4,4,0.25,-0.5628474983472881,-0.003993436073059361,-0.5668409344203474,-0.3034301829772088,-3.922026557317369,-0.31837908004320115,no
BTC,FUNDING_EXTREME_LONG,filter_off,10,3.0,2.0,72,14,14,0.35714285714285715,-0.8478731336363803,0.007567025440313111,-0.8403061081960672,-2.1557388435887157,-11.764285514744943,-0.42507159824737406,no
BTC,FUNDING_EXTREME_LONG,filter_default,10,3.0,2.0,72,10,10,0.4,-0.7619531882127029,0.014479908675799086,-0.7474732795369038,-2.1557388435887157,-9.210446057100091,-0.3745882225579406,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,10,3.0,2.0,72,4,4,0.25,-1.062672997195574,-0.009715182648401828,-1.0723881798439758,-1.3145246738244656,-5.944215539011882,-0.5614757211329157,no
BTC,FUNDING_EXTREME_LONG,filter_off,10,4.0,2.5,72,14,14,0.35714285714285715,-0.9518722393728521,0.008278538812785388,-0.9435937005600668,-1.2151658197577628,-13.210311807840933,-0.46747594830394945,no
BTC,FUNDING_EXTREME_LONG,filter_default,10,4.0,2.5,72,10,10,0.4,-1.123639866356415,0.01412796803652968,-1.1095118983198855,-2.4263121439537216,-11.443025568677758,-0.5328969355924991,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,10,4.0,2.5,72,4,4,0.25,-0.5224531719139447,-0.0063450342465753455,-0.5287982061605201,-0.22734472645755394,-3.7698556442780595,-0.2964461131466265,no
BTC,FUNDING_EXTREME_LONG,filter_off,10,5.0,2.5,72,14,14,0.35714285714285715,-0.9518722393728521,0.008278538812785388,-0.9435937005600668,-1.2151658197577628,-13.210311807840933,-0.46747594830394945,no
BTC,FUNDING_EXTREME_LONG,filter_default,10,5.0,2.5,72,10,10,0.4,-1.123639866356415,0.01412796803652968,-1.1095118983198855,-2.4263121439537216,-11.443025568677758,-0.5328969355924991,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,10,5.0,2.5,72,4,4,0.25,-0.5224531719139447,-0.0063450342465753455,-0.5287982061605201,-0.22734472645755394,-3.7698556442780595,-0.2964461131466265,no
BTC,FUNDING_EXTREME_LONG,filter_off,10,6.0,3.0,72,14,14,0.35714285714285715,-1.0420510626695887,0.009517938682322244,-1.0325331239872666,-1.2151658197577628,-14.45546373582173,-0.4904371922587975,no
BTC,FUNDING_EXTREME_LONG,filter_default,10,6.0,3.0,72,10,10,0.4,-1.2498902189718464,0.01586312785388128,-1.2340270911179652,-2.5707568481656033,-12.554808284026548,-0.5638103467109936,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,10,6.0,3.0,72,4,4,0.25,-0.5224531719139447,-0.0063450342465753455,-0.5287982061605201,-0.22734472645755394,-3.7698556442780595,-0.2964461131466265,no
BTC,FUNDING_EXTREME_LONG,filter_off,15,3.0,2.0,24,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_default,15,3.0,2.0,24,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,15,3.0,2.0,24,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_off,15,4.0,2.5,24,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_default,15,4.0,2.5,24,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,15,4.0,2.5,24,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_off,15,5.0,2.5,24,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_default,15,5.0,2.5,24,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,15,5.0,2.5,24,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_off,15,6.0,3.0,24,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_default,15,6.0,3.0,24,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,15,6.0,3.0,24,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_off,15,3.0,2.0,48,0,0,,,,,,,,no
