asset,signal_type,threshold,target_pct,stop_pct,hold_hours,raw_hits,dedup_trades,win_rate,avg_market_pnl_pct,avg_funding_pnl_pct,avg_total_pnl_pct,median_total_pnl_pct,max_drawdown_pct,longest_losing_streak,sharpe_like,first_entry,last_entry
BTC,FUNDING_EXTREME_LONG,5,3,1.5,72,29,4,0.75,0.11083743030152748,0.0068397003424657534,0.11767713064399325,0.3749232231539986,-1.9960825742148598,1,0.08788654121287813,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,3,2.5,72,29,4,1.0,0.6528844027696101,0.010209997146118723,0.6630943999157288,0.3749232231539986,0.0,0,1.0763766781217237,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,3,4,72,29,4,1.0,0.6528844027696101,0.010209997146118723,0.6630943999157288,0.3749232231539986,0.0,0,1.0763766781217237,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,4,1.5,72,29,4,0.75,0.11083743030152748,0.0068397003424657534,0.11767713064399325,0.3749232231539986,-1.9960825742148598,1,0.08788654121287813,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,4,2.5,72,29,4,1.0,0.6528844027696101,0.010209997146118723,0.6630943999157288,0.3749232231539986,0.0,0,1.0763766781217237,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,4,4,72,29,4,1.0,0.6528844027696101,0.010209997146118723,0.6630943999157288,0.3749232231539986,0.0,0,1.0763766781217237,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,5,1.5,72,29,4,0.75,0.11083743030152748,0.0068397003424657534,0.11767713064399325,0.3749232231539986,-1.9960825742148598,1,0.08788654121287813,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,5,2.5,72,29,4,1.0,0.6528844027696101,0.010209997146118723,0.6630943999157288,0.3749232231539986,0.0,0,1.0763766781217237,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,5,4,72,29,4,1.0,0.6528844027696101,0.010209997146118723,0.6630943999157288,0.3749232231539986,0.0,0,1.0763766781217237,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,6,1.5,72,29,4,0.75,0.11083743030152748,0.0068397003424657534,0.11767713064399325,0.3749232231539986,-1.9960825742148598,1,0.08788654121287813,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,6,2.5,72,29,4,1.0,0.6528844027696101,0.010209997146118723,0.6630943999157288,0.3749232231539986,0.0,0,1.0763766781217237,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,6,4,72,29,4,1.0,0.6528844027696101,0.010209997146118723,0.6630943999157288,0.3749232231539986,0.0,0,1.0763766781217237,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,8,1.5,72,29,4,0.75,0.11083743030152748,0.0068397003424657534,0.11767713064399325,0.3749232231539986,-1.9960825742148598,1,0.08788654121287813,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,8,2.5,72,29,4,1.0,0.6528844027696101,0.010209997146118723,0.6630943999157288,0.3749232231539986,0.0,0,1.0763766781217237,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,8,4,72,29,4,1.0,0.6528844027696101,0.010209997146118723,0.6630943999157288,0.3749232231539986,0.0,0,1.0763766781217237,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,10,1.5,72,29,4,0.75,0.11083743030152748,0.0068397003424657534,0.11767713064399325,0.3749232231539986,-1.9960825742148598,1,0.08788654121287813,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,10,2.5,72,29,4,1.0,0.6528844027696101,0.010209997146118723,0.6630943999157288,0.3749232231539986,0.0,0,1.0763766781217237,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,10,4,72,29,4,1.0,0.6528844027696101,0.010209997146118723,0.6630943999157288,0.3749232231539986,0.0,0,1.0763766781217237,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,3,1.5,168,29,4,0.75,0.7109349986563068,0.009901726598173516,0.7208367252544804,1.0051036627674348,-1.9960825742148598,1,0.3972251496467925,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,3,2.5,168,29,4,1.0,1.309784271011727,0.014039754566210047,1.323824025577937,1.066405638780901,0.0,0,1.2580431113045658,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,3,4,168,29,4,1.0,1.309784271011727,0.014039754566210047,1.323824025577937,1.066405638780901,0.0,0,1.2580431113045658,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,4,1.5,168,29,4,0.75,0.7109349986563068,0.009901726598173516,0.7208367252544804,1.0051036627674348,-1.9960825742148598,1,0.3972251496467925,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,4,2.5,168,29,4,1.0,1.309784271011727,0.014039754566210047,1.323824025577937,1.066405638780901,0.0,0,1.2580431113045658,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
